Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:56.572 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
     35s    2738  109552      0 634.91ms 567.80ms 520.36ms 454.30ms 425.20ms 338.17ms 350.37ms
     36s    2354   94185      0 860.36ms 827.85ms 749.21ms 643.30ms 599.79ms 383.52ms 427.53ms
     37s    2172   86885      0 1.01s    973.08ms 840.43ms 675.28ms 618.66ms 390.59ms 424.33ms
     39s    1191   47668      0 1.23s    1.15s    1.02s    919.08ms 868.75ms 771.75ms 749.00ms
     40s    1056   42274      0 1.28s    1.28s    1.09s    1.04s    1.02s    811.60ms 834.50ms
     40s    1586   63474      0 772.28ms 770.70ms 742.92ms 683.67ms 642.78ms 506.46ms 498.03ms
     41s    3122  124915      0 562.04ms 551.55ms 499.12ms 442.50ms 412.35ms 336.07ms 344.04ms
     42s    2940  117607      0 593.49ms 574.62ms 504.37ms 465.83ms 436.99ms 341.31ms 353.59ms
     43s    2814  112595      0 619.18ms 597.69ms 530.32ms 457.44ms 428.34ms 340.53ms 352.73ms
     44s    2812  112504      0 597.16ms 585.11ms 544.74ms 474.22ms 439.35ms 346.03ms 357.26ms
     45s    2631  105268      0 953.16ms 888.67ms 757.07ms 640.16ms 567.28ms 356.52ms 395.31ms
     46s    1260   50430      0 1.08s    1.07s    1.03s    929.56ms 872.42ms 727.19ms 729.53ms
     47s    1285   51406      0 933.23ms 933.23ms 896.01ms 837.81ms 805.31ms 600.83ms 619.37ms
     48s    2329   93180      0 665.32ms 643.30ms 566.23ms 481.30ms 456.39ms 359.92ms 369.11ms
     49s    2981  119254      0 612.37ms 560.99ms 514.59ms 451.15ms 422.31ms 342.62ms 350.80ms
     50s    2982  119293      0 568.85ms 537.40ms 498.34ms 448.27ms 417.86ms 330.56ms 343.33ms
     51s    2578  103133      0 896.01ms 876.61ms 778.57ms 677.90ms 624.43ms 359.14ms 403.83ms
     52s    1317   52696      0 1.09s    1.07s    979.89ms 857.74ms 792.72ms 674.76ms 669.98ms
     53s    2548  101938      0 623.90ms 598.74ms 532.68ms 467.93ms 434.37ms 327.68ms 346.35ms
     54s    2544  101769      0 1.01s    944.77ms 821.56ms 619.71ms 552.60ms 384.57ms 411.45ms
     56s    1170   46830      0 1.15s    1.15s    1.07s    1.02s    969.93ms 784.86ms 780.63ms
     57s    1019   40764      0 1.27s    1.24s    1.13s    1.05s    1.03s    791.15ms 832.42ms
     57s    1296   51863      0 985.14ms 965.74ms 891.81ms 818.41ms 788.53ms 603.46ms 616.60ms
     58s    2628  105143      0 636.49ms 628.10ms 551.55ms 478.15ms 447.22ms 348.39ms 360.87ms
     59s    2703  108159      0 596.64ms 585.11ms 525.07ms 466.09ms 438.83ms 359.92ms 364.54ms
     60s    2815  112628      0 587.73ms 579.34ms 506.99ms 458.75ms 432.80ms 363.07ms 364.28ms
     61s    2827  113096      0 555.75ms 540.54ms 496.24ms 446.96ms 418.64ms 344.20ms 349.78ms
     62s    2784  111383      0 595.59ms 590.35ms 541.07ms 468.98ms 428.08ms 343.67ms 354.98ms
     63s    2922  116907      0 565.18ms 538.97ms 497.55ms 457.97ms 428.87ms 346.82ms 355.23ms
     64s    2613  104531      0 947.91ms 893.91ms 782.76ms 602.41ms 541.59ms 355.47ms 390.19ms
     65s    1395   55831      0 1.04s    1.02s    885.00ms 796.92ms 764.94ms 617.09ms 617.21ms
     66s    2696  107867      0 749.73ms 658.51ms 608.70ms 499.12ms 455.61ms 344.72ms 361.88ms
     67s    2590  103617      0 592.97ms 587.73ms 545.78ms 508.30ms 492.31ms 378.27ms 383.18ms
     68s    2757  110282      0 773.85ms 770.18ms 695.21ms 542.64ms 495.45ms 373.56ms 390.77ms
     69s    2076   83043      0 711.46ms 675.81ms 618.66ms 568.33ms 538.97ms 416.55ms 431.19ms
     70s    2304   92170      0 1.02s    1.01s    883.43ms 783.29ms 707.79ms 425.20ms 468.07ms
     71s    1220   48839      0 1.15s    1.12s    1.05s    915.93ms 868.75ms 649.07ms 668.39ms
     72s    2322   92891      0 655.36ms 631.77ms 572.00ms 497.81ms 472.38ms 397.15ms 398.71ms
     74s    2522  100911      0 1.26s    1.05s    929.04ms 795.87ms 726.66ms 368.84ms 436.63ms
     75s    1100   44001      0 1.34s    1.30s    1.10s    977.80ms 940.57ms 800.06ms 780.22ms
     76s     932   37281      0 1.46s    1.44s    1.20s    1.13s    1.11s    854.07ms 894.47ms
     77s    1007   40301      0 1.28s    1.26s    1.20s    1.15s    1.13s    831.00ms 863.12ms
     77s    1229   49165      0 992.48ms 992.48ms 943.72ms 849.87ms 834.67ms 526.12ms 552.06ms
     78s    3007  120317      0 569.38ms 551.55ms 504.63ms 454.03ms 414.19ms 338.43ms 346.56ms
     79s    3061  122464      0 605.03ms 553.12ms 503.32ms 441.71ms 413.40ms 330.83ms 342.91ms
     80s    2966  118640      0 558.89ms 557.32ms 504.37ms 448.00ms 423.10ms 333.71ms 344.91ms
     81s    2882  115306      0 559.42ms 554.70ms 490.73ms 442.24ms 416.02ms 332.92ms 342.86ms
     82s    3005  120221      0 597.69ms 553.12ms 487.33ms 435.16ms 404.49ms 329.25ms 339.72ms
     83s    2968  118755      0 568.85ms 552.60ms 512.23ms 459.28ms 428.34ms 340.53ms 349.05ms
     84s    2939  117575      0 566.23ms 549.45ms 491.26ms 439.88ms 410.78ms 328.99ms 339.09ms
     85s    2780  111216      0 732.43ms 668.47ms 547.36ms 487.59ms 455.87ms 361.50ms 371.49ms
     86s    2191   87663      0 828.38ms 805.31ms 721.94ms 619.71ms 581.96ms 466.09ms 473.23ms
     87s    2353   94154      0 951.06ms 890.77ms 818.41ms 708.84ms 648.54ms 429.92ms 456.55ms
     89s    1122   44908      0 1.11s    1.09s    1.05s    978.85ms 920.65ms 801.64ms 778.76ms
     89s    1135   45411      0 1.16s    1.14s    1.04s    956.83ms 904.92ms 792.72ms 775.12ms
     91s    1156   46265      0 1.24s    1.24s    1.09s    1.01s    968.36ms 729.28ms 762.40ms
     91s    1281   51253      0 1.10s    976.75ms 929.04ms 908.59ms 880.80ms 612.37ms 639.14ms
     92s    2535  101422      0 624.95ms 595.59ms 552.60ms 468.98ms 430.44ms 352.06ms 360.14ms
     93s    2862  114510      0 616.04ms 593.49ms 507.51ms 453.77ms 428.61ms 337.12ms 351.27ms
     94s    2774  110973      0 569.90ms 555.75ms 508.30ms 454.30ms 422.84ms 340.26ms 349.95ms
     95s    3059  122379      0 653.79ms 610.27ms 520.62ms 462.16ms 419.43ms 325.84ms 342.65ms
     96s    2728  109149      0 682.62ms 609.75ms 548.41ms 481.82ms 450.89ms 358.61ms 368.80ms
     97s    2960  118409      0 603.98ms 568.33ms 499.12ms 446.69ms 418.91ms 327.94ms 342.25ms
     98s    2208   88320      0 1.04s    1.01s    864.03ms 746.59ms 687.34ms 432.28ms 471.80ms
     99s    1190   47611      0 1.13s    1.13s    983.56ms 889.19ms 839.91ms 742.92ms 734.55ms
    100s    1188   47526      0 1.16s    1.11s    1.02s    911.74ms 876.61ms 788.53ms 758.52ms
    101s     968   38737      0 1.14s    1.14s    1.06s    1.00s    970.46ms 822.08ms 785.73ms
    102s    1691   67658      0 884.47ms 869.27ms 857.74ms 814.74ms 759.69ms 436.73ms 501.79ms
    103s    2846  113854      0 598.21ms 564.13ms 518.52ms 456.65ms 425.46ms 340.79ms 349.33ms
    104s    2925  117007      0 591.92ms 549.45ms 498.60ms 447.74ms 418.64ms 336.86ms 345.92ms
    105s    2680  107229      0 889.19ms 837.29ms 713.56ms 602.41ms 530.84ms 354.68ms 387.54ms
    106s    1346   53842      0 1.04s    1.03s    948.44ms 865.60ms 805.83ms 681.05ms 683.54ms
    107s    1184   47374      0 1.09s    1.03s    964.17ms 882.38ms 818.94ms 722.99ms 705.79ms
    108s    1154   46179      0 1.09s    1.08s    972.55ms 898.11ms 874.51ms 796.92ms 777.31ms
    109s    1658   66353      0 902.30ms 900.20ms 848.82ms 819.46ms 794.30ms 491.26ms 522.01ms
    110s    3027  121113      0 644.35ms 627.05ms 533.99ms 478.94ms 445.64ms 337.12ms 353.73ms
    111s    2585  103434      0 979.37ms 917.50ms 844.63ms 592.45ms 522.45ms 376.18ms 399.59ms
    112s    1546   61864      0 932.71ms 932.71ms 865.08ms 804.26ms 777.52ms 578.29ms 566.29ms
    113s    3014  120560      0 562.04ms 549.45ms 508.82ms 460.06ms 440.14ms 340.53ms 355.33ms
    114s    2675  107019      0 994.57ms 821.04ms 716.18ms 613.94ms 535.04ms 357.30ms 389.94ms
    115s    1595   63830      0 985.66ms 985.66ms 874.51ms 780.66ms 737.15ms 575.67ms 575.10ms
    116s    2822  112910      0 635.96ms 605.55ms 543.69ms 502.27ms 445.12ms 340.00ms 354.69ms
    117s    2604  104173      0 1.05s    941.62ms 751.30ms 644.87ms 578.81ms 371.98ms 406.90ms
    118s    1410   56428      0 980.42ms 976.22ms 914.88ms 824.71ms 768.08ms 568.33ms 574.04ms
    119s    3091  123642      0 558.89ms 540.54ms 495.19ms 459.80ms 439.62ms 345.24ms 357.47ms
    120s    2977  119095      0 646.45ms 569.90ms 494.93ms 438.57ms 405.54ms 336.86ms 344.41ms
    121s    2714  108575      0 889.19ms 872.42ms 689.96ms 598.74ms 530.06ms 343.67ms 379.95ms
    122s    1581   63267      0 877.66ms 847.77ms 774.90ms 713.03ms 671.09ms 545.78ms 543.58ms
    123s    2902  116095      0 552.08ms 535.30ms 490.21ms 452.98ms 435.42ms 353.37ms 357.07ms
    124s    2928  117141      0 558.37ms 552.08ms 492.57ms 444.33ms 413.14ms 330.56ms 342.73ms
    125s    2893  115744      0 584.06ms 550.50ms 500.43ms 450.89ms 416.81ms 341.57ms 348.57ms
    126s    2537  101509      0 827.33ms 771.75ms 704.12ms 583.01ms 537.40ms 367.26ms 398.59ms
    127s    1453   58121      0 913.31ms 912.26ms 874.51ms 791.67ms 755.50ms 624.95ms 605.04ms
    128s    2706  108259      0 905.45ms 895.48ms 741.34ms 596.64ms 537.92ms 343.93ms 381.71ms
    129s    1301   52051      0 1.11s    1.06s    1.01s    892.86ms 825.75ms 668.99ms 686.81ms
    130s    1457   58311      0 1.01s    1.01s    944.24ms 852.49ms 815.27ms 581.96ms 567.35ms
    131s    2950  118025      0 633.86ms 596.12ms 513.54ms 459.28ms 430.96ms 357.56ms 361.98ms
    132s    2933  117340      0 584.06ms 550.50ms 494.14ms 438.57ms 410.26ms 333.97ms 343.92ms
    133s    2827  113088      0 572.00ms 538.97ms 498.34ms 443.02ms 417.33ms 338.17ms 346.94ms
    134s    2946  117866      0 566.76ms 555.22ms 522.45ms 452.46ms 417.33ms 331.87ms 343.67ms
    135s    2917  116716      0 630.72ms 561.51ms 505.94ms 440.14ms 414.97ms 330.04ms 341.31ms
    136s    2806  112263      0 886.05ms 859.31ms 749.73ms 597.16ms 528.48ms 343.93ms 378.04ms
    137s    1611   64475      0 858.26ms 856.16ms 784.86ms 697.30ms 667.94ms 538.44ms 547.40ms
    138s    2548  101929      0 1.04s    979.89ms 911.74ms 797.44ms 637.53ms 362.02ms 421.70ms
    139s    1126   45062      0 1.12s    1.12s    1.03s    951.58ms 920.65ms 800.06ms 779.38ms
    140s    1240   49601      0 1.02s    1.01s    932.18ms 832.57ms 802.16ms 706.22ms 691.46ms
    141s    2415   96628      0 598.21ms 593.49ms 544.74ms 491.00ms 441.97ms 357.30ms 361.43ms
    142s    2815  112612      0 564.66ms 537.40ms 516.42ms 459.54ms 428.34ms 335.54ms 350.10ms
    143s    2939  117573      0 573.57ms 548.41ms 492.83ms 444.07ms 418.12ms 337.12ms 347.47ms
    144s    2273   90942      0 1.08s    1.04s    889.72ms 779.62ms 690.49ms 403.96ms 454.22ms
    146s    1367   54710      0 1.19s    1.19s    1.03s    976.22ms 845.68ms 660.60ms 667.04ms
    146s     956   38244      0 1.24s    1.24s    1.14s    1.07s    1.05s    841.48ms 855.97ms
    147s    1120   44813      0 1.15s    1.15s    1.08s    972.55ms 876.61ms 695.21ms 701.09ms
    148s    1847   73913      0 897.06ms 831.00ms 740.82ms 661.13ms 633.86ms 488.11ms 501.03ms
    149s    2341   93644      0 716.70ms 706.22ms 656.41ms 606.08ms 558.37ms 366.74ms 391.08ms
    150s    2491   99661      0 745.54ms 728.76ms 635.96ms 553.65ms 521.14ms 408.42ms 412.32ms
    151s    2145   85835      0 952.11ms 944.24ms 802.16ms 732.95ms 697.30ms 475.53ms 499.40ms
    152s    1418   56745      0 1.04s    952.11ms 898.63ms 828.90ms 782.24ms 596.64ms 622.44ms
    154s    1214   48565      0 1.07s    1.07s    979.37ms 890.77ms 833.62ms 738.20ms 721.61ms
    154s    1132   45308      0 1.16s    1.15s    1.05s    958.40ms 909.64ms 788.00ms 759.73ms
    155s    1267   50681      0 1.16s    1.14s    995.10ms 890.24ms 862.98ms 782.76ms 731.27ms
    156s     989   39568      0 1.31s    1.20s    1.11s    1.06s    1.02s    869.79ms 848.23ms
    157s    1726   69078      0 873.99ms 867.17ms 767.03ms 695.21ms 667.94ms 502.79ms 506.00ms
    158s    1732   69302      0 1.11s    1.10s    977.80ms 829.95ms 765.46ms 499.38ms 522.60ms
    159s    1208   48352      0 1.00s    1.00s    912.26ms 853.02ms 813.69ms 721.94ms 711.41ms
    160s    1931   77255      0 786.96ms 782.24ms 715.13ms 656.93ms 607.65ms 380.37ms 419.06ms
    161s    2981  119271      0 576.19ms 532.68ms 500.70ms 447.48ms 422.05ms 325.06ms 340.44ms
    162s    2546  101861      0 723.52ms 713.03ms 611.32ms 534.25ms 494.14ms 383.78ms 395.68ms
    163s    2814  112575      0 588.78ms 550.50ms 504.89ms 439.35ms 412.35ms 333.19ms 344.51ms
    164s    2936  117460      0 832.05ms 698.88ms 560.46ms 466.35ms 429.92ms 332.92ms 348.97ms
    165s    1722   68917      0 1.10s    1.02s    935.33ms 833.62ms 771.23ms 590.35ms 605.03ms
    167s    1247   49893      0 1.18s    1.18s    1.01s    912.79ms 890.24ms 770.18ms 742.97ms
    167s    1058   42329      0 1.25s    1.22s    1.07s    972.03ms 950.53ms 791.15ms 778.06ms
    169s    1148   45937      0 1.20s    1.19s    1.04s    957.87ms 917.50ms 663.75ms 714.24ms
    169s     994   39784      0 1.23s    1.17s    1.06s    982.52ms 951.58ms 745.01ms 758.56ms
    170s    2080   83201      0 1.04s    970.98ms 840.43ms 744.49ms 691.01ms 429.92ms 476.81ms
    171s    1113   44548      0 1.23s    1.20s    1.10s    998.24ms 976.75ms 788.53ms 804.46ms
    172s    1280   51236      0 1.01s    1.01s    947.39ms 880.28ms 802.16ms 612.89ms 631.92ms
    174s    1459   58379      0 1.22s    1.19s    1.09s    918.55ms 879.76ms 593.49ms 637.78ms
    175s     922   36916      0 1.22s    1.20s    1.13s    1.06s    1.03s    804.78ms 844.86ms
    176s    1084   43394      0 1.18s    1.13s    1.06s    1.01s    990.38ms 754.97ms 802.33ms
    176s    1070   42823      0 1.08s    1.06s    1.02s    981.99ms 960.50ms 717.75ms 773.95ms
    178s    1043   41727      0 1.20s    1.15s    1.03s    967.31ms 954.20ms 769.13ms 777.04ms
    178s    1151   46068      0 1.20s    1.18s    1.04s    983.56ms 955.25ms 709.89ms 770.50ms
    179s     966   38644      0 1.21s    1.20s    1.08s    1.05s    1.01s    735.58ms 795.46ms
    180s    1119   44787      0 1.14s    1.13s    1.04s    961.02ms 931.66ms 722.47ms 773.01ms
    181s    1095   43812      0 1.17s    1.13s    1.06s    988.81ms 968.36ms 783.29ms 775.33ms
    182s     978   39157      0 1.11s    1.09s    1.06s    997.72ms 981.99ms 770.70ms 792.93ms
    183s    1594   63795      0 918.03ms 916.98ms 876.09ms 801.64ms 721.94ms 511.44ms 530.76ms
    184s    2726  109063      0 601.88ms 569.90ms 499.91ms 452.72ms 424.67ms 345.24ms 353.99ms
    185s    2642  105702      0 699.92ms 673.19ms 623.90ms 523.24ms 472.65ms 351.80ms 367.64ms
    186s    2637  105493      0 656.93ms 589.82ms 519.83ms 481.30ms 458.23ms 378.27ms 379.09ms
    187s    2018   80727      0 929.04ms 923.80ms 816.84ms 717.23ms 674.23ms 469.76ms 496.36ms
    188s    2372   94908      0 624.43ms 603.98ms 547.36ms 503.58ms 462.68ms 348.39ms 364.08ms
    189s    2841  113650      0 625.48ms 622.85ms 545.78ms 469.50ms 430.96ms 344.20ms 354.97ms
    190s    2575  103020      0 759.17ms 699.40ms 560.46ms 502.27ms 478.67ms 390.86ms 394.31ms
    191s    2620  104826      0 799.01ms 782.76ms 656.41ms 485.75ms 437.26ms 345.77ms 361.66ms
    192s    2351   94073      0 895.48ms 886.57ms 659.55ms 583.01ms 553.12ms 434.90ms 437.59ms
    193s    1403   56148      0 1.19s    1.19s    1.13s    1.01s    965.21ms 731.91ms 729.06ms
    195s    1092   43691      0 1.16s    1.15s    1.09s    1.03s    995.10ms 769.13ms 796.43ms
    195s    1060   42431      0 1.25s    1.25s    1.11s    1.03s    1.00s    770.18ms 795.68ms
    196s    1778   71131      0 1.07s    1.01s    963.64ms 798.49ms 710.93ms 442.76ms 487.58ms
    198s    1330   53237      0 1.04s    1.02s    916.46ms 875.04ms 844.10ms 667.42ms 682.01ms
    198s    1330   53235      0 1.11s    1.03s    974.13ms 875.56ms 829.95ms 634.91ms 641.06ms
    199s    2872  114904      0 592.45ms 564.66ms 517.73ms 458.49ms 431.49ms 329.25ms 348.15ms
    201s    2245   89804      0 1.19s    1.09s    936.90ms 828.38ms 703.07ms 403.44ms 459.34ms
    201s    1143   45734      0 1.18s    1.18s    1.11s    1.03s    983.56ms 776.99ms 806.79ms
    202s    1000   40034      0 1.21s    1.15s    1.10s    1.06s    1.04s    772.80ms 818.11ms
    203s    1101   44051      0 1.14s    1.13s    1.01s    938.48ms 912.26ms 715.65ms 746.89ms
    204s    1028   41152      0 1.10s    1.10s    1.03s    937.95ms 916.98ms 810.02ms 768.10ms
    205s    1845   73832      0 827.33ms 799.01ms 779.09ms 709.36ms 642.78ms 460.32ms 459.82ms
    206s    1908   76359      0 948.96ms 932.18ms 892.86ms 753.40ms 697.30ms 522.45ms 528.20ms
    207s    2510  100400      0 609.75ms 578.29ms 562.56ms 519.57ms 494.40ms 345.24ms 371.37ms
    208s    2945  117829      0 573.57ms 546.31ms 487.85ms 456.13ms 428.34ms 337.38ms 349.49ms
    209s    3009  120383      0 578.29ms 523.76ms 491.26ms 433.59ms 406.59ms 326.37ms 339.63ms
    210s    3052  122098      0 579.86ms 559.42ms 494.40ms 431.75ms 405.27ms 326.63ms 337.96ms
    211s    3046  121873      0 543.16ms 538.97ms 483.66ms 431.49ms 401.60ms 324.01ms 335.23ms
    212s    2954  118197      0 685.24ms 583.53ms 512.49ms 460.59ms 422.84ms 343.67ms 354.00ms
    213s    2837  113482      0 794.30ms 715.13ms 532.94ms 451.15ms 419.17ms 337.64ms 349.80ms
    214s    1681   67245      0 1.11s    1.02s    960.50ms 832.05ms 767.56ms 641.73ms 619.50ms
    215s    1120   44803      0 1.10s    1.09s    1.03s    948.96ms 902.82ms 792.20ms 770.47ms
    216s    1195   47829      0 1.12s    1.09s    1.00s    908.07ms 890.24ms 731.38ms 731.83ms
    217s    1035   41404      0 1.08s    1.07s    1.02s    907.02ms 893.91ms 805.83ms 759.19ms
    218s    1168   46734      0 1.10s    1.10s    1.02s    936.90ms 893.91ms 755.50ms 745.11ms
    219s    1114   44593      0 1.08s    1.07s    985.14ms 905.45ms 871.37ms 759.69ms 739.19ms
    220s    1147   45901      0 1.10s    1.10s    1.04s    909.64ms 865.60ms 763.36ms 727.80ms
    221s    2677  107114      0 566.76ms 566.23ms 502.01ms 452.20ms 422.05ms 347.34ms 350.39ms
    222s    2907  116284      0 595.59ms 587.73ms 513.80ms 452.98ms 418.64ms 331.09ms 344.63ms
    223s    2772  110887      0 704.64ms 648.54ms 546.83ms 475.53ms 438.83ms 354.94ms 363.19ms
    224s    2648  105937      0 609.22ms 601.88ms 553.65ms 499.38ms 463.73ms 372.51ms 376.46ms
    225s    2717  108696      0 633.86ms 564.13ms 508.30ms 457.44ms 428.08ms 343.93ms 352.72ms
    226s    2762  110507      0 591.92ms 569.90ms 515.90ms 464.26ms 430.44ms 354.42ms 360.51ms
    227s    2847  113912      0 579.86ms 575.14ms 508.56ms 461.11ms 438.83ms 345.51ms 357.08ms
    228s    2876  115047      0 600.31ms 590.35ms 543.16ms 456.39ms 419.69ms 332.66ms 346.35ms
    229s    2750  110010      0 554.17ms 553.65ms 509.35ms 468.71ms 453.51ms 353.37ms 363.86ms
    230s    2823  112939      0 671.61ms 652.74ms 494.93ms 451.41ms 424.15ms 340.00ms 349.39ms
    231s    2820  112827      0 1.02s    996.67ms 787.48ms 527.17ms 480.77ms 345.77ms 374.48ms
    232s    1320   52804      0 1.01s    993.53ms 947.91ms 865.60ms 828.90ms 710.93ms 704.73ms
    233s    2063   82553      0 718.27ms 693.63ms 641.20ms 581.44ms 540.02ms 366.74ms 396.59ms
    234s    2174   86963      0 1.09s    1.08s    897.58ms 761.79ms 675.81ms 432.80ms 471.26ms
    235s    1255   50224      0 1.03s    1.00s    959.45ms 876.61ms 818.94ms 719.32ms 717.39ms
    237s    1046   41865      0 1.23s    1.22s    1.17s    1.08s    981.47ms 759.17ms 777.04ms
    237s     997   39886      0 1.24s    1.23s    1.16s    1.07s    1.03s    757.60ms 816.96ms
    239s    1180   47215      0 1.29s    1.25s    1.15s    1.07s    1.04s    784.33ms 840.96ms
    240s     946   37851      0 1.20s    1.19s    1.13s    1.08s    1.06s    765.98ms 837.89ms
    240s     937   37480      0 1.18s    1.12s    1.08s    1.02s    994.05ms 743.96ms 802.99ms
    241s    1148   45957      0 1.13s    1.12s    980.42ms 935.33ms 923.80ms 764.94ms 753.65ms
    242s    1088   43523      0 1.20s    1.18s    1.07s    995.62ms 978.32ms 798.49ms 793.80ms
    243s    1260   50408      0 1.08s    1.07s    970.46ms 883.95ms 861.41ms 712.51ms 710.52ms
    244s    1105   44202      0 989.33ms 966.26ms 931.14ms 800.06ms 758.64ms 604.50ms 612.28ms
    245s    1824   72976      0 978.85ms 961.54ms 836.76ms 760.22ms 710.93ms 568.33ms 569.29ms
    246s    2004   80161      0 898.11ms 894.44ms 843.58ms 683.15ms 605.03ms 407.90ms 439.97ms
    247s    1357   54298      0 1.09s    1.07s    979.89ms 855.64ms 820.51ms 726.14ms 710.04ms
