Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:56.531 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
    181s    1221   48857      0 1.13s    1.08s    1.01s    945.82ms 920.65ms 706.22ms 749.19ms
    182s    1009   40386      0 1.22s    1.18s    1.06s    1.01s    985.14ms 790.63ms 788.15ms
    183s    1053   42144      0 1.08s    1.07s    1.04s    996.67ms 954.73ms 735.05ms 777.42ms
    183s    1582   63288      0 857.74ms 847.77ms 823.66ms 748.68ms 688.91ms 477.36ms 496.78ms
    184s    2937  117493      0 628.10ms 621.28ms 522.72ms 460.32ms 425.72ms 348.91ms 356.60ms
    185s    2593  103745      0 724.57ms 706.22ms 630.72ms 534.25ms 478.94ms 366.74ms 382.09ms
    186s    2496   99879      0 587.20ms 574.10ms 528.48ms 473.96ms 446.69ms 371.72ms 372.90ms
    187s    1913   76522      0 901.78ms 864.03ms 813.69ms 727.19ms 686.29ms 522.72ms 515.67ms
    188s    2585  103430      0 566.76ms 544.21ms 518.26ms 463.99ms 425.98ms 343.67ms 354.42ms
    189s    2798  111938      0 674.76ms 625.48ms 548.93ms 500.43ms 473.69ms 355.21ms 367.86ms
    190s    2480   99216      0 716.18ms 709.89ms 584.58ms 491.00ms 465.04ms 380.90ms 387.66ms
    191s    2524  100966      0 809.50ms 716.18ms 648.02ms 547.36ms 497.29ms 349.44ms 376.32ms
    193s    2252   90117      0 1.05s    997.72ms 792.20ms 648.54ms 562.04ms 437.26ms 446.13ms
    194s    1196   47847      0 1.25s    1.18s    1.09s    1.00s    972.03ms 770.18ms 777.76ms
    195s    1054   42178      0 1.12s    1.12s    1.07s    1.02s    986.19ms 730.33ms 782.66ms
    195s    1150   46022      0 1.22s    1.20s    1.05s    1.01s    989.33ms 669.52ms 716.29ms
    197s    1684   67396      0 1.04s    1.03s    960.50ms 852.49ms 793.77ms 486.80ms 541.51ms
    198s    1171   46849      0 1.02s    1.02s    927.47ms 875.56ms 831.52ms 622.33ms 645.40ms
    198s    1389   55573      0 1.01s    1.00s    961.54ms 851.97ms 823.13ms 658.51ms 605.58ms
    199s    2996  119856      0 601.36ms 591.40ms 503.58ms 451.94ms 424.67ms 330.83ms 348.40ms
    201s    2027   81119      0 1.21s    1.19s    1.02s    859.31ms 790.63ms 445.64ms 508.46ms
    202s    1050   42003      0 1.25s    1.18s    1.09s    1.01s    979.89ms 839.39ms 821.44ms
    203s     978   39142      0 1.17s    1.17s    1.10s    1.05s    1.03s    807.40ms 839.95ms
    204s    1102   44109      0 1.10s    1.10s    1.01s    935.33ms 913.31ms 750.26ms 753.20ms
    204s    1084   43366      0 1.14s    1.13s    1.02s    932.71ms 905.45ms 779.09ms 756.48ms
    205s    1870   74829      0 851.44ms 850.92ms 720.37ms 634.39ms 592.97ms 425.72ms 441.28ms
    206s    1790   71639      0 1.09s    1.09s    921.17ms 753.93ms 717.23ms 553.12ms 559.81ms
    207s    2582  103292      0 680.53ms 610.27ms 545.26ms 484.18ms 456.13ms 344.20ms 361.59ms
    208s    2926  117070      0 564.13ms 527.43ms 498.86ms 454.82ms 428.61ms 334.76ms 349.79ms
    209s    2965  118618      0 566.76ms 535.82ms 489.16ms 438.83ms 406.85ms 324.80ms 337.43ms
    210s    3048  121948      0 552.60ms 530.32ms 489.42ms 442.50ms 407.11ms 326.89ms 338.58ms
    211s    2954  118192      0 529.01ms 497.29ms 467.14ms 425.98ms 399.25ms 328.47ms 337.66ms
    212s    2810  112432      0 637.01ms 591.92ms 536.35ms 469.50ms 434.63ms 351.54ms 358.65ms
    214s    2912  116481      0 929.04ms 873.99ms 666.37ms 479.20ms 446.96ms 336.86ms 359.44ms
    215s    1483   59326      0 1.07s    1.02s    981.99ms 869.27ms 823.13ms 680.53ms 672.96ms
    216s    1105   44213      0 1.16s    1.10s    1.04s    966.79ms 929.56ms 808.45ms 793.53ms
    217s    1214   48586      0 1.13s    1.12s    962.07ms 896.01ms 879.23ms 749.73ms 732.60ms
    217s    1048   41921      0 1.12s    1.10s    1.02s    914.36ms 890.77ms 809.50ms 766.05ms
    219s    1168   46736      0 1.15s    1.13s    1.08s    942.15ms 891.81ms 773.85ms 753.13ms
    220s    1077   43105      0 1.11s    1.11s    1.02s    922.75ms 893.39ms 782.24ms 761.92ms
    220s    1166   46662      0 1.06s    1.06s    1.01s    876.61ms 861.93ms 729.28ms 680.96ms
    221s    2881  115265      0 558.37ms 538.97ms 509.87ms 451.15ms 417.07ms 341.05ms 347.53ms
    222s    2982  119312      0 574.62ms 562.04ms 522.45ms 458.75ms 423.10ms 336.07ms 349.20ms
    223s    2717  108698      0 720.37ms 641.20ms 563.09ms 494.14ms 458.49ms 350.75ms 363.57ms
    224s    2720  108832      0 616.04ms 604.50ms 555.75ms 512.23ms 470.81ms 378.80ms 381.83ms
    225s    2736  109460      0 615.51ms 594.02ms 514.33ms 455.08ms 419.69ms 338.69ms 347.58ms
    226s    2841  113674      0 582.48ms 529.01ms 493.36ms 447.48ms 419.43ms 353.63ms 359.09ms
    227s    2826  113045      0 602.93ms 566.76ms 506.72ms 460.32ms 436.99ms 345.51ms 354.48ms
    228s    2890  115633      0 663.22ms 590.35ms 544.21ms 471.33ms 448.27ms 338.17ms 357.28ms
    229s    2662  106502      0 582.48ms 555.22ms 511.97ms 459.01ms 431.75ms 345.24ms 355.29ms
    230s    2978  119156      0 652.74ms 566.76ms 500.70ms 444.07ms 421.53ms 333.71ms 346.07ms
    232s    2652  106082      0 981.47ms 940.57ms 848.30ms 634.39ms 543.16ms 356.25ms 398.14ms
    232s    1319   52785      0 1.09s    1.09s    928.51ms 841.48ms 797.44ms 686.29ms 681.86ms
    233s    2129   85169      0 698.35ms 670.56ms 603.46ms 537.92ms 476.32ms 362.28ms 378.82ms
    235s    2076   83075      0 1.03s    995.62ms 940.57ms 821.56ms 736.62ms 464.52ms 501.85ms
    236s    1253   50141      0 1.06s    1.06s    955.78ms 877.13ms 828.38ms 720.90ms 720.30ms
    237s    1001   40056      0 1.24s    1.24s    1.20s    1.10s    1.02s    793.25ms 803.41ms
    238s    1038   41528      0 1.56s    1.56s    1.47s    1.21s    1.15s    795.34ms 877.65ms
    239s    1014   40571      0 1.19s    1.19s    1.13s    1.07s    1.05s    784.86ms 837.94ms
    240s     910   36414      0 1.20s    1.18s    1.12s    1.09s    1.05s    772.80ms 836.63ms
    241s     997   39911      0 1.16s    1.12s    1.08s    1.03s    989.33ms 742.39ms 805.55ms
    242s    1160   46439      0 1.13s    1.11s    1.00s    961.54ms 941.10ms 792.20ms 764.50ms
    243s    1035   41401      0 1.16s    1.16s    1.04s    989.86ms 965.74ms 707.79ms 775.32ms
    244s    1295   51836      0 1.17s    1.17s    1.04s    913.31ms 867.70ms 743.96ms 720.03ms
    244s    1220   48827      0 1.06s    987.23ms 866.12ms 788.00ms 731.91ms 559.94ms 575.55ms
    245s    1704   68161      0 970.98ms 969.41ms 837.29ms 744.49ms 705.69ms 606.08ms 599.67ms
    246s    2006   80241      0 980.42ms 960.50ms 797.97ms 694.16ms 652.74ms 437.52ms 459.76ms
    248s    1269   50790      0 1.08s    1.06s    993.00ms 898.63ms 843.06ms 734.00ms 716.48ms
